"german","english"
"§ 174b stgb","14 words"
"§ 174c stgb","abbi"
"abkratzen","adam and steve"
"abscheulich","adulteress"
"ächten","african american"
"afrikanischer abstammung","african blacks"
"analfick","african descent"
"analkoitus","african negros"
"apartheitsstaat","african-american"
"araber","african-negro"
"araberin","african-negroes"
"arschfick","african-negros"
"arschficken","africanus niger"
"arschloch","africoid"
"asozial","ahole"
"asyl tourismus","a'hole"
"asylschmarotzer","analphabet"
"ausmerze","analphabetic"
"ausmerzen","arabs"
"ausmerzung","arse"
"ausschwitzkeule","arsehole"
"autostrich","arse-hole"
"banause","ashole"
"bandenkrieg","asshole"
"bandenkriege","ass-hole"
"bandenkriminalitã¤t","asshole-ery"
"barbarei","assholes"
"barbarischen","asspit"
"behindert","asstard"
"behinderte","autoandrophilia"
"behinderter","autogynephilia"
"behinderung","autogynesmile"
"behinderungen","autohomoeroticism"
"bescheißen","b!tch"
"bestialität","b17ch"
"betrügerin","b1tch"
"bettler","babbler"
"blackballed","baby murder"
"blutsauger","bantheadl"
"bombenattentat","bastard"
"bonze","batty boy"
"bonzen","beanpole"
"bordell","bestiality"
"bordellen","betrayer"
"bösewicht","beyotch"
"bösewichte","biatch"
"bucklige","bimbo"
"bulgaren","bimbos"
"bullenschwein","bio-trans"
"bumsen","bitch"
"callgirl","bitchiness"
"cancel","bitch-slap"
"cancel-culture","black-africans"
"chad","blackamoor"
"clan kriminalität","blackishly"
"clankriminalität","blackishness"
"conspiracism","blackly"
"cuckold","blacks"
"date-rape","blk ppl"
"debilität","blockhead"
"deformiert","bluelivesmatters"
"demagoge","bonehead"
"demagogen","boobs"
"die da oben","booby"
"dirne","bozo"
"du bist hässlich","brain damage"
"du bist voll hässlich","brain damaged"
"dummes kind","brain shrinkage"
"echsenmenschen","brain-damage"
"ehrenmord","brain-damaged"
"einheitsmedien","brainless"
"einwanderung","bumbler"
"elektroschock-therapie","bunghole"
"erbärmlich","bungler"
"ermordung","butcher"
"ethnie","c0cksucker"
"fachidiot","child murder"
"fanatiker","child murderer"
"faschismus","ching chong"
"faschist","chink"
"faschisten","chinks"
"faschistin","chopstick"
"faschistisch","christ killer"
"faschistischen","christ-killer"
"faschistoid","chump"
"fascho","cingene"
"fascismo","clocking"
"fascismus","cockmonger"
"faszismus","cocksucker"
"faulenz","cocksuka"
"faulenzen","cocksukka"
"feige","coksucka"
"feigling","commie"
"femenazi","congoid"
"fettsack","coon"
"fettwanst","cornucopia"
"flachwichser","crack ho"
"flittchen","crackwhore"
"flittchens","cretin"
"folter","cretinisim"
"folterer","cretinism"
"folterinstrument","cretinous"
"folterkammer","cretins"
"foltern","criminals"
"folterung","cripple"
"fotze","crippled"
"frühsexualisierung","cross dresser"
"fundamentalistin","cross dressing"
"fundamentalistisch","cum chugga"
"fundamentalistische","cum dumster"
"gangmitglied","cumbag"
"gangsterbraut","cunt"
"gaskammer","cunts"
"gefoltert","cuntslut"
"gendergaga","darkie"
"gender-gaga","darky"
"gender-ideologie","dense"
"genozid","dickhead"
"geschwuchtel","differently abled"
