"sentiment","hate_speech","language","content"
"neu","none","german","@davekachel das war eigentlich nur spaß, aber egal..."
"pos","none","german","Hallo Frank, ja das stimmt schon, hatte nebenbei immer einen warmen Ingwer Tee gehabt🙂 LG Bernd"
"pos","none","emoticon","🔥🔥🙏🔥🔥"
"neu","none","german","@Jude er hat die letzten spiele immer gespielt. Aber keine Leistung gebracht. Dann ist normal das er gegen Tottenham nicht mehr spielt"
"pos","none","german","Ich sehe es genauso im meiner Beziehung unglaublich wie du es auf dem Punkt schilderst, was für Gabe hast du denn! Danke🙏"
"neg","hate","german","delia -fettsack danke"
"neu","off","german","@@VivaAlex ahahaha die Vagina :D"
"neu","none","english","And im second"
"neu","none","german","Das Land der Hüllen, Londor. Hatte drei Prinzessinen, die eine Dunkle Kirche gründeten. Londor, besteht zu großen teilen aus den Nachkommen der Finstergeister aus Darksouls 1. Jene Untote, die dem erneuten entfachen der ersten flamme gegenüberstehen. Seit dieser zeit, sind Dunkelrote, und Schwarze Flammen ein zeichen jener, die der Ersten flamme entgegen stehen."
"pos","none","german","finde die Art wie du erzählst iwie entspannend! will auch mit wildkräutern anfangen und suche gerade den Einstieg :) als Kind hab ich immer Löwenzahnblätter und Gänseblümchen geknabbert 😁😁"
"pos","none","german","Yes ich bin im Video😂👏💪"
"pos","none","german","5 min live Stream 😂😂😂🙌🏻"
"neg","hate","english","Soy gay"
"pos","none","english","Such a paradise where nature and a peaceful life are to be found .  The opportunity to enjoy a simple life 
removed from city rabble is very attractive .Great filming and editing .Wishing you both a pleasant weekend  👍🐗"
"pos","none","german","Ja da hast du recht, jetzt zum Wochenende ist auch wieder was geplant. Liebe Grüße Jörg 🙋‍♂️ 🚴‍♂️🥴🏁"
"neu","none","german","nicht"
"neg","off","german","lesbo flow selbst beim freestyle bin ich besser als ihre schlechten texte das klingt wie die scheisse auf wdr"
"pos","none","english","Drop a Like and a Follow if u liked the Video❤️"
"neg","off","english","Omg I&#39;m so annoyed right now<br>Chris Crocker ( who is gay which is fine btw) Song: Freak of nature"
"pos","none","german","Du bist die beste"
"neg","off","english","Ain’t stopping till I’m filthy rich
I’m on the grind till it kills me bitch
In my cup issa filthy drink
Get used to it, VV’s on my neck, they ain’t got Cuban links
Always got the piece, I refuse to slip
And I’m not from T but I move in groups of six
Don’t like jets, I ride SUVs, I cruise in ships
6 hoes in the 4 door, and I got room for it, 
Iced out my neck, now I’m out tryna do my wrist
Releasing fumes, it stinks"
"neu","none","english","Kortiah no way. R6 is basically the fastest pulling 600 there is..if you saw his other races you would agree that straights are also his thing"
"neu","none","english","Nice bro but do better things next time lol, i mean the poison part was good enough but..."
"neu","none","german","Leider haben ein Großteil der Politiker heutzutage keine Empathie mehr, keine Gefühle für Mitmenschen, ihr Volk und deren Interessen, bzw eben dass was die Gesellschaft zusammenhält. Daher ist in meinen Gedanken das so gewollt. Hier hilft nur absoluter Protest und Oppositionsarbeit. Diese beiden Geisterfahrten sind bemerkenswert... wer hätte z.B. 1997 gedacht, dass wir als Volk von der Landes- und Bundesregierung so gegängelt werden und jetzt so mit offenem Ende dastehen? Mehr Protest muss auf die Straße bzw nach draußen, denn wenn zu viele Menschen so duldsam und starr bleiben wird sich nur sehr langsam bis gar nichts ändern. Ich hoffe, dass mit dem Frühlingsbeginn mehr Leute aufwachen..."
"neg","off","german","Grüß dich Analphabet. <a href=\"about:invalid#zCSafez\"></a>"
"pos","none","german",". Happy Birthday, Frank. Umarmung aus Berlin. :-)"
"pos","none","german","ich würde gerne gegen euch 3 spielen :D"
"neu","none","english","+michaeltass1 did you purchase the LEDriving Wireless Ambient Light? The lights have to be charged first, before you install them into your car. The modules should blink while they charge, is this the case? <br>Best regards, your OSRAM YouTube Team"
"neg","none","german","Hä, wie kommst du darauf??! Wär ich schwul, wäre er meine allerletzte Wahl"
"pos","none","english","ImPeLy Producciones many thanks!! 🐠❤️🦀🌴💯"
"neg","none","german","Ich find das neue Fiora Splashart so hässlich, warum haben sie das denn gemacht. Hätten sie mal Poppy's Splash geupdated..."
"pos","none","german","Ach, das ist der glücklich Hahn! Ist ja super zutraulich <3 In gold sieht die Rasse ja so richtig klasse aus, hab ich so auch noch nicht gesehen. 
Hab grad mal zurück gestöbert, wer mir denn da schreibt. Bei mir ist auch Ende des Monats Schlupftag(am 29.3.). Ich drück Dir die Daumen, dass es drei Hennen werden :) 
LG"
"neu","none","german","Schwarze Schweine..."
"pos","none","german","Mal wieder cooles video, weiter so jungs. Schwarze wäre super!!!"
"neg","off","english","F*ck putin asshole!"
"pos","none","german","Sehr gerne! :-)"
"neu","none","german","Den \"gepflegten Absturz\" hatte ich gestern abend !"
"neg","off","german","@shadow gaming roblox anni Was zu teufel"
"neg","off","german","Das Sofakissen Das geile ist, wenn du du das schreibst obwohl schon jemand anderes den richtigen Titel gesagt hat.... Dummes Kind alter."
"pos","none","german","@m c die Zimt Phase hatte ich bist jetzt noch nicht und hoffe auch, dass ich sie nie bekomme 😀.<br><br>Schwarze Schafe gibt es leider überall."
"neg","none","german","@@hundeschulehannahjunk3673 ja ich weiß das es kein Borde Collie ist. Da er aber bei der deutsche Meisterschaft der Border Collies mit läuft, erwarte ich zumindest die Arbeit eines denkenden Hütehundes und keine Obedience Vorführung. Seufz,what ever, ich finde der Hund liefert eine total unselbständige Arbeit ab. Okay er kann es halt nicht, weil es eine andere Rasse ist,weil er nicht gut gezogen ist weil er einfach kein Talent hat,weil er nicht korrekt ausgebildet ist,egal aus welchem Grund auch immer. Für mich ist das ein schlimmer Lauf. Aber wenn all anderen jubeln und begeistert sind muss sie das ja nicht kümmern. In diesem Sinn gute Nacht. ;)"
"neu","hate","german","Immer wieder witzig wie Türken behaupten das es türkisches Essen wäre.
Kurden sind der älteste Volk der Welt die haben 7000jahre vor euch in kurdistan gelebt,und haben solche essen erfunden"
"neu","none","german","Hallo Ralf...wieviele Zecken haste dir auf der Tour eingefangen ??"
"pos","none","german","Danke Oli für das tolle Video, und deinen voll authentischen Bericht. Leider werden viele Obdachlose, so auch ich damals, von vielen Leuten gemieden, und auch mit wirklich \"tollen\" Worten und Aussagen bedacht, die mich damals wirklich sehr getroffen haben und auch traurig gemacht haben. Du hast auch Recht, wenn man mal, so wie ich von 100 auf -0 runterfällt und , so wie ich über 5 Jahre dort war, dann kommt man drauf, was man im Leben wirklich braucht, bzw. was man alles nicht braucht."
"pos","none","english","Feckin still kick arse live band. HIll and Powell along with stalwarts Berry and Macnalty long live the mighty Slade. Always bring the house down."
"pos","none","german","Wow ich sammle  auch steif aber die muss mann  in Ehren  halten  sie sind wertvoll  und teuer  tschüss"
"neu","none","german","In Kürze
Dieser Band enthält die folgenden Kurzgeschichten des Meisters der spannenden Kriminalgeschichten: 
Der Redner, 
Die Gedankenleser, 
Die zwei ungleichen Brüder, 
Mord in Sunningdale,
 Die Privatsekretärin, 
Der geheimnisvolle Nachbar, 
Im Banne des Sirius, 
Geschmuggelte Smaragde, 
Der Fall Freddie Vane, 
Der Verbrecher aus Memphis USA, 
Die Lektion, 
Arsen.



https://www.jpc.de/jpcng/books/detail/-/art/edgar-wallace-der-redner/hnum/8326844"
"pos","none","german","Cooles Video!
Aber was ist das für ein schwarzer Klotz am Arm? Ne Uhr??? :-D"
"pos","none","german","ich finde es echt ziemlich feige , einen daumen runter zu geben und keine begründung zu geben , aber wieder gutes video ;D"
"neu","none","german","Also es steht bei der Beschreibung klar und deutlich Kategorie 3 sieht man auch im Video also F3 somit nicht legal nach Österreich zu führen!"
"neg","none","german","Danke dir.. Tatsächlich waren wir enttäuscht wie sau von den Zimmern. Man merkte das corona war und sich über ein Jahr niemand um nichts gekümmert hat. Probleme werden auch nicht ernst genommen und wec gelächelt, wie z.B. das die Bad Amaturen abgefallen sind vor lauter Gammel. Aber schau gerne  auf <a href=\"http://www.travelingfamily.net/\">www.travelingfamily.net</a> vorbei =) da gibt&#39;s mehr Bilder und Infos... oder auf @<a href=\"http://travelingfamily.de/\">travelingfamily.de</a> auf Instagram =) liebe Grüße"
"neg","none","german","SV Sparkassen versicherung ist Mafia Vorsicht"
"neg","off","german","So ist es! <br>Kein Erwachsener verliert etwas wenn er Kindern den Sieg gönnt!<br>Die Kommentare sind hier überwiegend echt niveaulos, wie asozial Leute sind die sich als Elite sehen, weil sie öffentlich-rechtliche schauen..."
"neu","none","english","Detonator (Lyrics)

Should that be my chancestar tonight?
Can someone carry my lantern for light?
Wailer, chancestar, force-tyke in time
I wish you never, wish you never my dawn
I wish you never, wish you never and forever..wailer!
I`m your Detonator and that will be alright
Wailer chancestar force-tyke in time
I`m your Detonator, you say, is that why you hide?"
"neu","none","german","Topic Name 1. Ich denke nicht dass Du nur das Geringste über meine Herkunft weißt, denn die Annahme dass ich ein sogenannter Hurensohn bin ist inkorrekt... 2. Wieso hoffst Du dass ich sterbe? Es ist doch ziemlich unklug einer Person den Tod zu wünschen obwohl man die Person dich garnicht kennt... Bitte versuche in nächster Zeit ein wenig durchdachtere Antworten zu geben :)"
"neu","none","german","Ich muß anmerken keine Kamera oder Mikrofon zu besitzen oder verwenden zu wollen hat auch nicht zwangsläufig mit \"sich entziehen wollen\" zu tun wie offenbar Viele denken. Im Prinzip ist es auch eine Datenschutzgeschichte. Vertaut man dem Anbieter der Meetingsoftware oder kann man sich wirklich sicher sein, das sich kein Fremder reingehackt hat? Woher weiß man das auf keinen der beteiligten fremden PCs ein Virus drauf ist oder das nicht doch einer der vielen Mitschüler Bild und Ton heimlich mitschneidet. Abgesehen davon das ja doch Fremde Einblicke in die eigenen Wohnräume erhalten. Da wäre auch mir das Risiko zu groß muß ich sagen."
"neg","none","english","Butt ugly bow.  And no railing topside on the bow?!  How dangerous is that?  Interior is cold and unappealing."
"neu","none","english","FN Kiddie"
"pos","none","english","Aaand here is S3rl nightcored by the best :P and always with soo cute pictures :3"
"pos","none","german","ok =)"
"pos","none","german","So guck ich mir dann jetzt ann❤❤❤
😊😊😊"
"neu","none","german","Leider ist unser Zeus, ein toller schwarzer Briard-Mix, der diese Musik immer zum Einschlafen gehört hat, mit fast 17 Jahren, am 10.10.2022 verstorben. Bis dahin haben wir als Familie wochenlang in 3-Schicht über ihn gewacht.
Jetzt liegt er bei uns im Garten und bleibt für immer bei uns."
"neu","none","german","@Daniel Duse Super das freut mich!<br>Im Römerbrief am Ende von Kapitel 1 und am Anfang von Kapitel 2 lesen wir davon, wer &quot;sonst noch gerettet&quot; wird. Es werden dort Menschen beschrieben, die aus dem Herz heraus nicht mehr böse leben (obwohl sie das Gesetz nicht kennen):<br>Römer 2,14 &quot;Wenn nun Menschen, die nicht zum jüdischen Volk gehören und mit dem Gesetz Gottes daher nicht in Berührung gekommen sind, von sich aus so handeln, wie es das Gesetz fordert, dann ist dieses Gesetz, auch wenn sie es nicht kennen, offensichtlich ein Teil von ihnen selbst. Ihr Verhalten beweist, dass das, was das Gesetz fordert, ihnen ins Herz geschrieben ist. Das zeigt sich auch im Urteil ihres Gewissens und am Widerstreit von Anklagen und Rechtfertigungen in ihren Gedanken. Der Tag des Gerichts wird das alles bestätigen, der Tag , an dem Gott durch Jesus Christus auch über die verborgensten Dinge im Leben der Menschen sein Urteil sprechen wird. So lehrt es das Evangelium, das mir anvertraut ist.&quot;<br><br>Das Fegefeuer/Reinigungsstraffeuer ist eine Erfindung von der katholischen Kirche. Damit kann man gut Geld einnehmen, mit der Angst der Menschen um ihre Verstorbenen. Aber so ist Gott nicht. Bei ihm müssen wir nicht in Angst leben. Er ist voller Gnade (unbegreiflich!!=). Selbst ich darf in seine Gegenwart kommen! Und das ist es, was uns beschäftigen sollte. Wie komme ich in die Gegenwart Gottes. Mit einem aufrichtigen Herzen, oder &quot;halbherzig&quot;?! Um die Anderen müssen wir uns nicht sorgen. Der Vater im Himmel ist gut und gerecht. Und er will eine Beziehung mit DIR. Immer persönlicher, immer vertrauter...<br>Das muss ich mir auch selbst immer wieder in Erinnerung rufen!"
"neu","none","german","Folgende Logik: 

da ein Portal machen 
dann gings da ja  runter um ein Portal zu machen
dann fliegt man da hoch um da ein Portal zu machen
fliegt runter
da rein
dann fliegt man hier hoch 
da rein
immer so weiter bis man am ziel ist

xDDD
"
"pos","none","english","I have this on in surround sound and I think I'm really there!! Thanks for putting this together."
"neg","off","english","stupid idiots ; d and beautiful bike"
"neu","none","english","Time to post some new videos on this channel man"
"neu","off","english","I would like to imagine that doofenshmirtz was just taking a leasurely stroll next to a japanese school when suddenly that blonde bimbo jumped from the sky and surprised him 1:03"
